,,,freq,Time frequency,iccs,International classification of crime for statistical purposes (ICCS),unit,Unit of measure,geo,Country Name,Year,Time,Crime_value,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2008,,2.78,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2009,,2.57,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2011,,4.38,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2014,,3.38,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2015,,1.86,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2016,,2.46,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2017,,1.81,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2018,,1.78,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2019,,2.03,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2020,,1.83,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2021,,2.16,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2022,,1.5,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AL,Albania,2023,,1.23,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2008,,0.7,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2009,,0.61,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2010,,0.73,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2011,,0.96,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2012,,1.05,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2013,,0.75,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2014,,0.51,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2015,,0.49,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2016,,0.56,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2017,,0.7,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2018,,0.83,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2019,,0.84,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2020,,0.61,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2021,,0.66,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2022,,0.72,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,AT,Austria,2023,,0.82,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BA,Bosnia and Herzegovina,2008,,1.72,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BA,Bosnia and Herzegovina,2009,,1.74,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BA,Bosnia and Herzegovina,2010,,1.4,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BA,Bosnia and Herzegovina,2011,,1.27,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BA,Bosnia and Herzegovina,2012,,1.56,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2008,,1.91,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2009,,1.76,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2010,,1.74,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2011,,1.95,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2012,,1.86,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2013,,1.83,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2014,,1.88,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2015,,2.06,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2016,,1.55,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2017,,1.74,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2018,,1.68,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2019,,1.28,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2020,,1.29,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2021,,1.36,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2022,,1.59,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BE,Belgium,2023,,1.38,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2008,,2.29,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2009,,2.01,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2010,,1.99,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2011,,1.74,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2012,,1.92,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2013,,1.5,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2014,,1.55,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2015,,1.75,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2016,,1.1,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2017,,1.34,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2018,,1.3,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2019,,1.16,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2020,,0.96,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2021,,1.29,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2022,,1.11,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,BG,Bulgaria,2023,,1.15,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2008,,0.71,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2009,,0.66,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2010,,0.68,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2011,,0.58,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2012,,0.57,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2013,,0.71,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2014,,0.5,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2015,,0.69,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2016,,0.54,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2017,,0.53,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2018,,0.59,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2019,,0.54,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2020,,0.55,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2021,,0.48,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2022,,0.48,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CH,Switzerland,2023,,0.6,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2008,,1.16,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2009,,2.38,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2010,,0.85,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2011,,0.95,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2012,,2.2,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2013,,1.27,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2014,,1.17,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2015,,1.42,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2016,,1.3,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2017,,0.82,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2018,,1.62,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2019,,1.48,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2020,,1.69,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2021,,1.56,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2022,,0.77,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CY,Cyprus,2023,,1.05,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2008,,1.09,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2009,,1.01,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2010,,1,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2011,,0.79,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2012,,0.9,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2013,,0.86,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2014,,0.77,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2015,,0.84,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2016,,0.62,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2017,,0.38,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2018,,0.52,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2019,,0.76,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2020,,0.53,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2021,,0.43,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2022,,0.75,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,CZ,Czechia,2023,,0.63,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,DE,Germany,2008,,0.8,,,,,
,,,A,Annual,ICCS0101,Intentional homicide,P_HTHAB,Per hundred thousand inhabitants,DE,Germany,2009,,0.88,,,,,
