Country Name,geo,Year,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
Albania,AL,2014,,295.0,,,98.0,2.0,41.0,297.0,56.0,97.0,7961.0,1776.0
Albania,AL,2015,,231.0,,,54.0,8.0,71.0,234.0,78.0,149.0,7012.0,2330.0
Albania,AL,2016,256.0,151.0,1032.0,913.0,71.0,4.0,44.0,159.0,76.0,120.0,5641.0,3257.0
Albania,AL,2017,297.0,,1154.0,1018.0,52.0,2.0,43.0,183.0,70.0,113.0,5096.0,2087.0
Albania,AL,2018,274.0,,1033.0,941.0,51.0,5.0,42.0,133.0,67.0,109.0,5414.0,1926.0
Albania,AL,2019,305.0,,1330.0,874.0,58.0,4.0,77.0,98.0,77.0,154.0,4833.0,2011.0
Albania,AL,2020,161.0,,847.0,798.0,52.0,5.0,65.0,82.0,54.0,145.0,3162.0,2128.0
Albania,AL,2021,263.0,746.0,977.0,921.0,61.0,4.0,65.0,80.0,47.0,135.0,3342.0,3168.0
Albania,AL,2022,494.0,607.0,1180.0,969.0,42.0,4.0,57.0,78.0,83.0,169.0,2458.0,2956.0
Albania,AL,2023,312.0,592.0,874.0,,34.0,4.0,50.0,89.0,69.0,134.0,2334.0,3105.0
Austria,AT,2014,,85487.0,,,43.0,1.0,1164.0,3481.0,2119.0,3564.0,148263.0,29164.0
Austria,AT,2015,,79152.0,,,42.0,3.0,1130.0,3416.0,2009.0,3479.0,140254.0,33080.0
Austria,AT,2016,20.0,80503.0,3151.0,32543.0,49.0,2.0,1231.0,3103.0,2821.0,4391.0,143531.0,36235.0
Austria,AT,2017,30.0,69259.0,3209.0,35050.0,61.0,3.0,1492.0,2610.0,2417.0,4253.0,131717.0,42699.0
Austria,AT,2018,24.0,58637.0,3113.0,37859.0,73.0,5.0,1666.0,2396.0,2424.0,4425.0,118802.0,41177.0
Austria,AT,2019,38.0,54324.0,3158.0,49627.0,74.0,6.0,1676.0,2628.0,2360.0,4509.0,115423.0,43767.0
Austria,AT,2020,37.0,48437.0,2879.0,54410.0,54.0,3.0,1684.0,2137.0,2135.0,4141.0,84734.0,40785.0
Austria,AT,2021,57.0,40385.0,2915.0,57407.0,59.0,3.0,1841.0,2118.0,2209.0,4354.0,73213.0,35461.0
Austria,AT,2022,148.0,49592.0,3085.0,70429.0,65.0,9.0,2055.0,2536.0,2568.0,4968.0,97139.0,35232.0
Austria,AT,2023,1230.0,58897.0,4503.0,,75.0,6.0,2328.0,2678.0,2805.0,5447.0,110359.0,35737.0
Belgium,BE,2014,,96419.0,,,210.0,1151.0,3188.0,21928.0,3709.0,6897.0,208443.0,55132.0
Belgium,BE,2015,,91761.0,,,231.0,1171.0,3231.0,20278.0,3657.0,6888.0,246853.0,52657.0
