Geopolitical entity (reporting),TIME_PERIOD,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
Albania,2014,,10.18,,,3.38,0.07,1.41,10.25,1.93,3.35,274.9,61.32
Albania,2015,,7.98,,,1.86,0.27,2.46,8.11,2.7,5.16,242.98,80.74
Albania,2016,8.9,5.23,35.89,31.75,2.46,0.13,1.53,5.53,2.64,4.17,196.17,113.26
Albania,2017,10.32,,40.12,35.39,1.81,0.07,1.49,6.36,2.43,3.93,177.15,72.55
Albania,2018,9.55,,35.99,32.78,1.78,0.17,1.46,4.63,2.33,3.8,188.62,67.1
Albania,2019,10.66,,46.46,30.53,2.03,0.14,2.69,3.42,2.69,5.38,168.84,70.26
Albania,2020,5.66,,29.76,28.04,1.83,0.18,2.28,2.88,1.9,5.09,111.11,74.77
Albania,2021,9.29,26.36,34.53,32.55,2.16,0.14,2.3,2.83,1.66,4.77,118.1,111.95
Albania,2022,17.68,21.73,42.24,34.69,1.5,0.14,2.04,2.79,2.97,6.05,87.99,105.81
Albania,2023,11.3,21.44,31.65,,1.23,0.14,1.81,3.22,2.5,4.85,84.51,112.43
Austria,2014,,1004.91,,,0.51,0.01,13.68,40.92,24.91,41.9,1742.86,342.83
Austria,2015,,922.92,,,0.49,0.03,13.18,39.79,23.43,40.57,1635.37,385.72
Austria,2016,0.23,926.38,36.22,374.04,0.56,0.02,14.17,35.66,32.46,50.53,1651.67,416.97
Austria,2017,0.34,789.47,36.58,399.53,0.7,0.03,17.01,29.75,27.55,48.48,1501.41,486.72
Austria,2018,0.27,664.65,35.29,429.13,0.83,0.06,18.88,27.16,27.48,50.16,1346.62,466.74
Austria,2019,0.43,613.22,35.65,560.2,0.84,0.07,18.92,29.67,26.64,50.9,1302.92,494.05
Austria,2020,0.42,544.17,32.34,611.28,0.61,0.03,18.92,24.01,23.99,46.52,951.95,458.2
Austria,2021,0.64,452.1,32.63,642.66,0.66,0.03,20.61,23.71,24.73,48.74,819.61,396.98
Austria,2022,1.65,552.32,34.36,784.38,0.72,0.1,22.89,28.24,28.6,55.33,1081.86,392.39
Austria,2023,13.51,646.88,49.46,,0.82,0.07,25.57,29.41,30.81,59.83,1212.1,392.51
Belgium,2014,,862.36,,,1.88,10.29,28.51,196.12,33.17,61.69,1864.29,493.09
Belgium,2015,,816.58,,,2.06,10.42,28.75,180.45,32.54,61.3,2196.73,468.59
Belgium,2016,0.85,698.01,45.6,491.53,1.55,10.62,30.44,165.13,38.8,69.24,2055.54,491.38
Belgium,2017,0.88,662.02,40.49,510.89,1.74,10.31,32.83,155.44,43.23,76.06,1969.42,513.17
Belgium,2018,0.85,624.43,41.49,579.47,1.68,,33.93,144.61,42.72,76.65,1948.04,524.5
Belgium,2019,0.87,576.53,42.33,709.45,1.28,,36.85,142.26,47.29,84.13,1985.09,556.46
Belgium,2020,0.65,413.58,37.78,830.84,1.29,,34.72,103.51,47.99,82.72,1364.21,537.15
Belgium,2021,0.88,397.93,42.57,880.81,1.36,,39.91,100.64,54.17,94.07,1447.91,490.59
Belgium,2022,0.77,448.13,45.4,977.18,1.59,,40.25,115.3,59.39,99.64,1718.97,498.63
Belgium,2023,0.81,420.55,42.62,,1.38,,37.55,120.05,61.41,98.95,1745.78,501.71
Bulgaria,2014,,211.53,,,1.55,1.31,2.04,32.1,6.38,8.42,569.25,44.7
Bulgaria,2015,,167.1,,,1.75,1.03,1.65,27.02,6.72,8.37,531.99,55.68
Bulgaria,2016,1.85,142.04,3.12,50.39,1.1,0.98,1.78,23.29,,7.74,457.48,66.23
Bulgaria,2017,1.96,124.57,3.28,47.45,1.34,1.44,2.0,21.94,,9.19,576.57,70.25
Bulgaria,2018,2.37,108.71,9.55,40.43,1.3,0.89,1.6,17.94,6.55,8.16,523.71,78.52
Bulgaria,2019,1.86,88.94,8.36,30.04,1.16,1.03,1.87,16.9,6.77,8.64,473.88,78.14
Bulgaria,2020,1.7,76.88,6.99,24.04,0.96,1.17,1.57,14.41,6.6,8.17,388.92,70.7
Bulgaria,2021,1.46,59.77,8.17,23.7,1.29,1.0,1.16,12.14,6.75,7.91,353.28,71.05
Bulgaria,2022,1.54,63.46,7.81,33.62,1.11,1.21,1.4,13.19,6.89,8.29,413.08,78.32
Bulgaria,2023,1.52,51.75,8.87,,1.15,1.38,1.16,13.94,8.51,9.68,405.62,88.26
Croatia,2014,,360.32,,,0.85,0.02,7.89,29.86,6.33,14.22,283.58,63.74
Croatia,2015,,354.25,,,0.88,0.0,6.11,31.03,8.21,14.32,320.62,67.26
Croatia,2016,5.3,295.97,21.6,90.82,1.05,0.02,7.59,25.49,8.54,17.11,303.98,277.21
Croatia,2017,4.65,308.63,18.32,63.53,1.11,0.0,5.92,20.8,5.54,11.92,298.81,284.31
Croatia,2018,1.1,265.64,12.54,75.22,0.58,0.0,7.23,18.97,5.94,14.35,296.92,272.78
Croatia,2019,0.96,265.73,19.26,80.91,0.81,0.02,11.58,20.56,8.61,21.05,291.0,274.71
Croatia,2020,1.5,220.2,13.26,61.78,0.99,0.02,7.44,15.57,6.53,14.69,256.72,227.1
Croatia,2021,2.55,188.14,22.59,73.04,0.82,0.07,11.17,14.96,9.74,22.07,255.8,221.76
Croatia,2022,8.85,185.28,30.73,90.31,0.8,0.0,9.24,18.33,8.62,18.59,287.06,237.81
Croatia,2023,2.99,188.14,22.38,,0.68,0.0,10.96,16.36,9.32,21.71,292.66,268.92
Cyprus,2014,,275.76,,,1.17,0.93,1.98,12.12,0.23,2.21,115.38,125.87
Cyprus,2015,,233.65,,,1.42,0.0,2.48,9.21,0.0,2.48,111.33,109.8
Cyprus,2016,4.48,202.87,4.83,27.35,1.3,0.12,2.59,10.96,0.24,2.83,86.17,103.26
Cyprus,2017,3.51,171.97,3.63,28.78,0.82,1.05,2.22,12.05,0.12,2.34,112.19,109.97
Cyprus,2018,1.85,144.64,1.97,26.27,1.62,0.46,3.24,8.45,0.12,3.36,82.85,132.14
Cyprus,2019,1.6,135.86,1.71,25.23,1.48,0.91,1.83,6.28,0.11,1.94,73.3,117.82
Cyprus,2020,1.24,98.2,1.46,27.48,1.69,0.23,3.15,8.78,0.23,3.38,57.77,95.27
Cyprus,2021,1.34,96.43,1.34,45.76,1.56,0.33,6.14,7.59,0.89,7.03,58.82,93.53
Cyprus,2022,2.54,124.68,2.65,52.83,0.77,0.66,6.3,10.61,0.0,6.3,67.76,113.3
Cyprus,2023,0.63,114.95,0.74,,1.05,0.0,4.32,6.53,3.06,11.7,81.76,115.27
Czechia,2014,,469.01,,,0.77,0.14,6.36,24.23,7.23,13.62,993.72,53.24
Czechia,2015,,327.15,,,0.84,0.11,5.67,19.19,7.79,13.49,810.06,52.66
Czechia,2016,0.93,267.39,28.04,93.2,0.62,0.17,6.15,15.6,6.91,13.2,674.86,52.75
Czechia,2017,0.87,228.07,25.74,82.73,0.38,0.16,5.65,14.98,7.59,13.37,624.84,52.93
Czechia,2018,2.65,199.35,24.47,79.63,0.52,0.12,6.14,13.25,7.4,13.65,560.2,51.51
Czechia,2019,1.15,208.09,21.96,86.19,0.76,0.11,6.41,13.51,8.12,14.65,561.98,45.25
Czechia,2020,1.08,193.2,15.79,74.36,0.53,0.1,5.98,11.67,7.4,13.59,426.77,39.19
Czechia,2021,0.89,292.98,13.3,111.63,0.43,0.02,14.21,11.49,0.78,14.89,256.58,39.21
Czechia,2022,1.71,320.92,15.31,153.09,0.75,0.05,16.29,13.52,0.86,17.32,330.65,39.94
Czechia,2023,1.26,286.18,14.6,,0.63,0.07,16.14,13.29,0.88,17.22,326.7,39.97
Denmark,2014,,1237.5,,,1.1,,14.87,41.26,27.21,42.08,4456.42,499.23
Denmark,2015,,1119.19,,,0.92,,18.57,35.94,27.56,46.13,3990.8,438.41
Denmark,2016,0.93,1053.68,91.92,688.28,0.93,,29.42,38.28,37.04,66.46,3951.31,414.96
Denmark,2017,0.47,955.37,64.66,764.3,1.06,,31.36,35.52,52.05,83.41,3721.21,481.56
Denmark,2018,5.45,949.08,83.6,749.81,0.93,,38.35,31.46,57.48,95.83,3162.31,521.86
Denmark,2019,0.79,831.15,87.15,820.3,0.93,,35.33,29.25,48.98,84.31,2928.71,567.58
Denmark,2020,0.22,661.08,66.51,925.06,0.88,,37.35,28.08,54.87,92.22,2439.43,536.19
Denmark,2021,0.91,521.11,81.8,778.8,0.72,,45.51,22.04,63.1,108.61,2134.02,490.85
Denmark,2022,0.17,537.83,59.27,973.59,1.0,,48.2,23.94,58.99,107.19,2496.21,532.38
Denmark,2023,2.41,529.43,120.87,,0.89,,40.03,22.35,74.01,114.05,2671.5,504.56
England and Wales,2014,,718.55,,,0.89,3.83,51.4,87.71,61.07,137.79,2342.92,49.21
England and Wales,2015,,695.62,,,0.95,5.24,62.28,88.7,71.82,184.81,2354.96,45.07
England and Wales,2016,,708.87,,,1.16,6.62,71.59,102.06,79.39,210.19,2524.38,43.55
