STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isco08,International Standard Classification of Occupations 2008 (ISCO-08),sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AL,Albania,2013,,360,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AL,Albania,2014,,361,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AL,Albania,2015,,357,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AL,Albania,2017,,397,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AL,Albania,2018,,361,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AL,Albania,2019,,346,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AL,Albania,2020,,362,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AL,Albania,2021,,371,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AL,Albania,2022,,245,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AL,Albania,2023,,245,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2008,,371,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2009,,364,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2010,,360,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2011,,365,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2012,,365,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2013,,379,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2014,,390,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2015,,393,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2016,,395,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2017,,393,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2018,,388,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2019,,394,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2020,,394,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2021,,392,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2022,,388,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,AT,Austria,2023,,396,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2008,,977,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2009,,962,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2010,,1051,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2011,,1070,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2012,,1085,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2013,,1085,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2014,,1082,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2015,,1063,,,,,
